"season","Jon Snow","Tyrion Lannister","Daenerys Targaryen","Sansa Stark","Cersei Lannister","Arya Stark","Jaime Lannister","Samwell Tarly","Jorah Mormont","Theon Greyjoy","Petyr 'Littlefinger' Baelish","Davos Seaworth","Eddard 'Ned' Stark","Bran Stark","Brienne of Tarth","Sandor 'The Hound' Clegane","Lord Varys","Catelyn Stark","Tywin Lannister","Margaery Tyrell","Robb Stark","Bronn","Stannis Baratheon","Joffrey Baratheon","Melisandre","Ramsay Bolton","Missandei","Gilly","Tormund Giantsbane","Ygritte","Shae","Daario Naharis","Podrick Payne","Olenna Tyrell","Tommen Baratheon","Grey Worm","Gendry","High Sparrow","Barristan Selmy","Grand Maester Pycelle","Yara Greyjoy","Loras Tyrell","Talisa Maegyr","Robert Baratheon","Roose Bolton","Osha","Hodor","Eddison Tollett","Meera Reed","Oberyn Martell","Jaqen H'ghar","Thoros of Myr","Alliser Thorne","Khal Drogo","Beric Dondarrion","Qyburn","Ellaria Sand","Gregor 'The Mountain' Clegane","Renly Baratheon","Maester Luwin","Ros","Grenn","Mance Rayder","Jeor Mormont","Viserys Targaryen","Maester Aemon","Jojen Reed","Lancel Lannister","Shireen Baratheon","Edmure Tully","Euron Greyjoy","Lysa Arryn","Meryn Trant","Brynden 'Blackfish' Tully","Walder Frey","Hot Pie","Janos Slynt","Locke","Myranda","Rodrik Cassel","The Waif","Benjen Stark","Rast","Rickon Stark","Septa Unella","Olly","Doreah","Balon Greyjoy","Pypar","Yoren","Myrcella Baratheon","Hizdahr zo Loraq","Tyene Sand","Mace Tyrell","Robin Arryn","Selyse Baratheon","Karl Tanner","Xaro Xhoan Daxos","Irri","Lady Crane","runtime_min"
"1",54.75,52.75,54,24,28,33.5,21,21.25,27.5,16.75,25.75,0,92.5,25.75,0,6.75,19,42.25,10.25,0,24.75,15,0,17.75,0,0,0,0,0,0,8,0,0,0,0.75,0,2.75,0,8.75,13.75,0,5.75,0,30.5,0,8,3,0,0,0,0,0,6.75,22.75,0.5,0,0,2.5,9.5,6.75,8.25,6.25,0,10,20.5,5.5,0,3.25,0,0,0,6,3,0,3,0.75,1,0,0,10,0,6.25,4.25,1.25,0,0,9.5,0,7,6,0.75,0,0,0,3.75,0,0,0,7,0,567
"2",33.75,65,38.75,34,36.25,38.75,18.25,11.25,17.5,40.25,21.25,19.25,0,13.25,18,11.75,14,24,17.25,9.5,27.5,14.5,19.75,17.5,12.75,0,0,3.25,0,17.75,16,0,3.75,0,4.25,0,9,0,0,6.25,10,8,14.75,0,3.5,9.5,6,5,0,0,8,0,0,2.25,0,0,0,1.75,14.5,16.75,10.25,5,0,7,0,0,0,6.5,0,0,0,0,2.75,0,0,5.5,4.25,0,0,2,0,0,0,4.25,0,0,3,6.5,0,6,1.5,0,0,0,0,0.25,0,10.5,3,0,549
"3",36,50,30.75,33.5,22,26.5,34.75,24,18.75,22.5,8.75,19,0,16.75,21.25,16,15.75,16.5,21.25,21.25,25.5,6.75,14.25,20.25,18,12.75,11.5,13.5,8.75,25,14.5,6.5,5.5,13.75,0,5.5,17,0,13.5,2.75,2.75,6.25,16,0,8.75,8.75,7,3.75,8.25,0,0,12.75,0,0,8.25,5.75,0,0,0,0,3.25,3,6.75,4,0,1.25,9.75,0,4,10.5,0,0,1.25,9.5,7,4.5,0,7,3.5,0,0,0,4,3.75,0,0,0,2.5,0.75,0,0,0,0,0,0,2,0,0,0,0,558
"4",42.5,47.75,27.5,32.75,37.25,25.75,36,26,13.5,12.25,19,11.5,0,12,20,28.5,6.5,0,28.5,17.75,0,8.75,10,14.75,5.25,13.5,9.5,9.25,7.25,8.25,8.75,7.5,16,8,9.75,6.5,0,0,7.75,5.25,2.25,1.75,0,0,5.75,0,7,5.75,9.25,28.5,0,0,9.25,0,0,2.25,6.75,4.75,0,0,0,7,7,0,0,6,9.25,0,2.75,0,0,10.5,1.75,0,0,2,5.25,6,1.5,0,0,0,4.5,0,0,3.25,0,0,4.25,0,0,2,0,3.75,4.75,5.25,2.5,0,0,0,545
"5",49.25,44,41.75,34.75,49.75,34.75,21.75,23.5,29.75,15.5,18.5,12.5,0,0,14.75,0,10.5,0,1,11.25,0,13.5,29.25,0,11.75,18.5,13.25,11.75,12.25,0,0,19.25,9,8,11.5,10.25,0,17,7.25,2.5,0,4.5,0,0,9,0,0,4.25,0,0,11.25,0,5.75,0,0,4.25,8.75,0.5,0,0,0,0,7.25,0,0,6.25,0,4,11.5,0,0,0,7.25,0,0,0,3.75,0,7.25,0,4.5,0,0,0,7.5,7.25,0,0,0,0,8,9.75,7.25,3.5,0.5,3.75,8.75,0,0,0,563
"6",52,34,28.75,40.5,28.5,30,30.75,16,10.5,16.5,9,27.25,7.25,18.25,15.5,9.75,16,0,0,18.25,0,5.5,0,0,18,21.25,11.5,15.25,13.5,0,0,12.75,7,8.5,17,10,0,20.5,0,4.75,12,5.75,0,0,3.25,3.5,6.5,9.5,9.5,0,7.25,2.25,4.25,0,2.5,7,3,9.25,0,0,0,0,0,0,0,0,0,5.25,0,7.25,6.5,0,0,6.5,5.75,0,0,0,0.75,0.75,8.25,5.75,0,3.25,5,2,0,3.25,0,0,1.5,0,1.25,4.25,2.25,0,0,0,0,10,562
"7",70,43.5,54.5,39,34.25,35,36.5,21.75,25,12.5,16.75,20.5,0.25,13.25,8,22.5,12.5,0,0,0,0,10.75,0,0,3,0,16.5,2.5,13.75,0,0,0,3.25,5.75,0,10.5,10.5,0,0,0,5.25,0,0,0,0,0,0,1,2.25,0,0,11.25,0,0,13.75,5.5,5.75,5.5,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,2,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,440
